2059;17/10/2020;001;004;005;010;012;014;015;016;017;0010;0011;0012;0013;0014;0015;14.138.075,00;1;LAGES\tSC;191;6385;83694;482559;1.180.261,05;1.850,96;25,00;10,00;5,00;1.999.945,37;3.700.000,00;9.550.465,31;
2058;16/10/2020;001;005;007;008;010;012;013;014;015;0010;0011;0012;0013;0014;0015;19.852.030,00;1;CANALELETRONICO\t--;275;10313;133439;718162;1.485.508,22;1.618,06;25,00;10,00;5,00;0,00;1.200.000,00;9.264.918,27;
2057;15/10/2020;002;005;006;008;009;010;011;012;013;0020;0021;0022;0023;0024;0025;22.802.142,50;4;GOIANIA\tGOCHAPECO\tSCGUARULHOS\tSPPALMAS\tTO;301;11459;155019;809238;803.932,83;1.728,38;25,00;10,00;5,00;0,00;1.500.000,00;8.905.521,12;
2056;14/10/2020;001;003;004;005;006;009;010;013;015;0010;0011;0012;0013;0014;0015;18.310.727,50;0;;215;8188;113743;637585;0,00;1.442,31;25,00;10,00;5,00;1.478.918,09;3.400.000,00;8.485.324,36;
2055;13/10/2020;001;002;003;004;005;007;011;014;015;0010;0011;0012;0013;0014;0015;18.532.490,00;3;BRASILIA\tDFCURITIBA\tPRSAOPAULO\tSP;218;9740;113412;633765;504.509,00;1.455,75;25,00;10,00;5,00;0,00;1.500.000,00;8.127.521,58;
2054;10/10/2020;001;002;003;005;007;008;010;011;012;0010;0011;0012;0013;0014;0015;14.182.757,50;4;CANALELETRONICO\t--CURITIBA\tPRRIODEJANEIRO\tRJITAQUAQUECETUBA\tSP;426;11171;112276;541675;221.102,97;621,86;25,00;10,00;5,00;0,00;1.500.000,00;7.761.345,69;
2053;09/10/2020;003;004;009;011;012;013;015;016;017;0030;0031;0032;0033;0034;0035;19.739.000,00;1;BELOHORIZONTE\tMG;171;8225;126375;670879;1.620.159,55;1.986,61;25,00;10,00;5,00;0,00;1.200.000,00;7.547.375,06;
2052;08/10/2020;001;003;004;006;008;010;012;013;014;0010;0011;0012;0013;0014;0015;15.404.535,00;2;PONTESELACERDA\tMTSAOPAULO\tSP;401;10681;110468;538534;567.127,53;847,26;25,00;10,00;5,00;0,00;1.500.000,00;7.155.400,97;
2051;07/10/2020;001;002;003;004;007;009;010;012;016;0010;0011;0012;0013;0014;0015;19.331.330,00;1;CIANORTE\tPR;289;11127;133169;724649;1.365.807,36;1.415,61;25,00;10,00;5,00;0,00;1.200.000,00;6.880.984,42;
2050;06/10/2020;001;002;003;004;005;006;007;009;013;0010;0011;0012;0013;0014;0015;21.296.010,00;1;SAOPAULO\tSP;299;11500;144169;763501;3.719.530,70;1.602,22;25,00;10,00;5,00;0,00;1.500.000,00;6.550.547,15;
2049;05/10/2020;003;004;008;009;010;011;013;014;016;0030;0031;0032;0033;0034;0035;18.792.897,50;1;UBERABA\tMG;258;10207;114992;641386;1.534.058,09;1.781,04;25,00;10,00;5,00;1.862.227,54;3.500.000,00;6.163.608,98;
2048;03/10/2020;001;003;004;006;007;008;009;012;013;0010;0011;0012;0013;0014;0015;14.355.857,50;1;SAOPAULO\tSP;179;6505;78189;447713;1.319.439,95;1.545,57;25,00;10,00;5,00;0,00;1.500.000,00;5.792.465,88;
2047;02/10/2020;002;003;004;005;007;008;010;011;012;0020;0021;0022;0023;0024;0025;20.242.965,00;2;NITEROI\tRJPARAISODOTOCANTINS\tTO;468;13807;147195;740380;706.617,17;904,52;25,00;10,00;5,00;0,00;1.200.000,00;5.473.246,52;
2046;01/10/2020;001;003;004;007;010;011;014;015;017;0010;0011;0012;0013;0014;0015;15.555.477,50;2;SAOPAULO\tSPCOLMEIA\tTO;298;9941;111781;576612;541.177,28;1.087,94;25,00;10,00;5,00;0,00;1.500.000,00;5.131.334,98;
2045;30/09/2020;001;003;005;009;012;013;015;016;017;0010;0011;0012;0013;0014;0015;24.362.207,50;1;BRASILIA\tDF;285;11759;157828;890473;3.033.086,77;1.352,68;25,00;10,00;5,00;0,00;1.200.000,00;4.869.475,00;
2044;29/09/2020;003;005;006;010;011;013;016;017;018;0030;0031;0032;0033;0034;0035;15.405.022,50;0;;206;7753;96360;553674;0,00;1.736,87;25,00;10,00;5,00;1.194.490,50;3.500.000,00;4.424.653,31;
2043;28/09/2020;003;005;007;009;012;013;014;015;017;0030;0031;0032;0033;0034;0035;19.195.215,00;4;CANDEIAS\tBASAOLUIS\tMACASCAVEL\tPRJARAGUADOSUL\tSC;538;19766;182588;787736;223.772,11;498,35;25,00;10,00;5,00;0,00;1.200.000,00;4.135.663,66;
2042;26/09/2020;002;003;004;008;009;010;012;014;015;0020;0021;0022;0023;0024;0025;13.845.880,00;1;UBATUBA\tSP;261;8449;95737;510570;989.842,89;1.136,00;25,00;10,00;5,00;0,00;1.500.000,00;3.919.110,01;
2041;25/09/2020;001;002;004;007;009;011;013;014;016;0010;0011;0012;0013;0014;0015;19.965.760,00;4;CENTRODOGUILHERME\tMAVESPASIANO\tMGPONTAGROSSA\tPRPASSODOSOBRADO\tRS;749;15475;156669;751053;319.676,47;511,37;25,00;10,00;5,00;0,00;1.200.000,00;3.679.631,88;
2040;24/09/2020;002;003;008;010;011;012;013;014;015;0020;0021;0022;0023;0024;0025;22.396.350,00;1;ARACI\tBA;245;9503;135166;781117;4.075.719,94;1.565,20;25,00;10,00;5,00;0,00;1.500.000,00;3.370.267,53;
2039;23/09/2020;001;002;003;004;005;006;010;011;014;15;19;21;23;24;25;18.927.080,00;2;BELOHORIZONTE\tMGCURITIBANOS\tSC;245;9845;127788;661352;732.184,95;1.790,35;25,00;10,00;5,00;1.951.865,09;3.500.000,00;2.927.797,77;
2038;22/09/2020;001;003;005;007;010;011;012;014;015;17;18;19;20;24;25;15.460.687,50;1;MARINGA\tPR;435;10964;118988;597314;977.219,58;672,90;25,00;10,00;5,00;0,00;1.500.000,00;2.573.514,72;
2037;21/09/2020;001;002;004;007;008;009;010;011;014;16;18;20;21;22;23;20.010.035,00;1;COTRIGUACU\tMT;293;9727;120192;635819;1.757.769,51;1.796,99;25,00;10,00;5,00;0,00;1.200.000,00;2.337.090,61;
2036;19/09/2020;004;005;006;007;008;011;012;013;017;18;19;21;22;23;25;14.662.307,50;2;FRUTAL\tMGITAPEMA\tSC;281;7594;89139;490671;612.268,82;1.305,32;25,00;10,00;5,00;0,00;1.500.000,00;1.911.823,79;
2035;18/09/2020;003;008;010;011;012;013;014;016;018;19;20;22;23;24;25;21.233.840,00;5;CAMPANARIO\tMGUBERLANDIA\tMGRECIFE\tPECURITIBA\tPRMAUA\tSP;282;11056;162825;785271;292.851,45;1.555,32;25,00;10,00;5,00;0,00;1.200.000,00;1.615.564,67;
2034;17/09/2020;001;003;004;005;007;008;009;011;013;14;16;18;19;22;24;15.991.790,00;103;CANALELETRONICO\t--CAMPOALEGRE\tALBOMJESUSDALAPA\tBACAMACARI\tBACORACAODEMARIA\tBAESPLANADA\tBAFEIRADESANTANA\tBAFORTALEZA\tCCAUCAIA\tCEBRASILIA\tDFCATALAO\tGOFORMOSA\tGOARAXA\tMGBARBACENA\tMGBELOHORIZONTE\tMGCAMPODOMEIO\tMGBELEM\tPACAMPINAGRANDE\tPBFERREIROS\tPEARAUCARIA\tPRCAFELANDIA\tPRBOAVISTA\tRRBOSSOROCA\tRSARACAJU\tSEANDRADINA\tSPBREJOALEGRE\tSPCARAGUATATUBA\tSPCERQUILHO\tSPCOTIA\tSPAUGUSTINOPOLIS\tTO;582;12673;119702;575259;10.712,22;567,86;25,00;10,00;5,00;0,00;1.500.000,00;1.261.308,87;
2033;16/09/2020;001;002;005;006;010;011;012;013;014;16;17;19;20;21;22;19.592.580,00;2;UBERABA\tMGCRAVINHOS\tSP;275;9209;116028;625551;862.601,79;1.879,14;25,00;10,00;5,00;0,00;1.200.000,00;994.367,26;
2032;15/09/2020;002;004;005;007;008;009;012;013;015;17;18;19;21;22;25;16.835.845,00;8;GOIANIA\tGOJUIZDEFORA\tMGMONTESCLAROS\tMGCANDIOTA\tRSCARAPICUIBA\tSPSANTOANDRE\tSPSAOPAULO\tSP;592;13677;132604;621838;136.774,22;553,63;25,00;10,00;5,00;0,00;1.500.000,00;576.979,29;
2031;14/09/2020;001;002;003;007;008;009;010;012;013;15;18;20;23;24;25;21.650.950,00;2;CANALELETRONICO\t--CENTRODOGUILHERME\tMA;572;16891;172356;853199;645.326,93;675,87;25,00;10,00;5,00;0,00;1.200.000,00;312.254,98;
